,player_id,gw_no,eltype,team_code,Name,Team,ElemTypeName,BuyPrice,SellPrice,ActualSellPrice,Points,Contribution,Squad,SquadFreeHit,Lineup,Bench,Captain,TransferIn,TransferOut,TripleCaptain,Wildcard,FreeHit,BenchBoost,BudgetInBank,AvailableTransfers,PenalizedTransfers,important
0,93.0,1.0,1.0,5.0,Pope,5.0,G,45.0,45.0,0.0,8.0,8.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
1,84.0,1.0,2.0,5.0,Tarkowski,5.0,D,50.0,50.0,0.0,6.0,6.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
2,182.0,1.0,2.0,10.0,Alexander-Arnold,10.0,D,70.0,70.0,0.0,5.0,5.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
3,183.0,1.0,2.0,10.0,van Dijk,10.0,D,65.0,65.0,0.0,8.0,8.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
4,297.0,1.0,2.0,15.0,Lundstram,15.0,D,40.0,40.0,0.0,3.0,3.0,1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
5,29.0,1.0,3.0,2.0,Grealish,2.0,M,60.0,60.0,0.0,2.0,2.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
6,215.0,1.0,3.0,11.0,De Bruyne,11.0,M,95.0,95.0,0.0,7.0,7.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
7,217.0,1.0,3.0,11.0,Mahrez,11.0,M,85.0,85.0,0.0,14.0,28.0,1.0,-0.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
8,239.0,1.0,3.0,12.0,Martial,12.0,M,75.0,75.0,0.0,7.0,7.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
9,313.0,1.0,4.0,16.0,Ings,16.0,F,60.0,60.0,0.0,2.0,2.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
10,409.0,1.0,4.0,20.0,Jiménez,20.0,F,75.0,75.0,0.0,2.0,2.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
11,471.0,1.0,1.0,15.0,Henderson,15.0,G,45.0,45.0,0.0,2.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
12,181.0,1.0,2.0,10.0,Robertson,10.0,D,70.0,70.0,0.0,2.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
13,113.0,1.0,3.0,6.0,Willian,6.0,M,70.0,70.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
14,166.0,1.0,4.0,9.0,Vardy,9.0,F,90.0,90.0,0.0,2.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,1.0,-0.0,2.0
15,471.0,2.0,1.0,15.0,Henderson,15.0,G,45.0,45.0,-0.0,9.0,9.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
16,181.0,2.0,2.0,10.0,Robertson,10.0,D,70.0,70.0,-0.0,2.0,2.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
17,183.0,2.0,2.0,10.0,van Dijk,10.0,D,65.0,65.0,-0.0,2.0,2.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
18,297.0,2.0,2.0,15.0,Lundstram,15.0,D,40.0,40.0,-0.0,14.0,28.0,1.0,0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
19,29.0,2.0,3.0,2.0,Grealish,2.0,M,60.0,60.0,-0.0,6.0,6.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
20,215.0,2.0,3.0,11.0,De Bruyne,11.0,M,95.0,95.0,-0.0,11.0,11.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
21,217.0,2.0,3.0,11.0,Mahrez,11.0,M,85.0,85.0,-0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
22,239.0,2.0,3.0,12.0,Martial,12.0,M,75.0,76.0,-0.0,7.0,7.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
23,166.0,2.0,4.0,9.0,Vardy,9.0,F,90.0,90.0,-0.0,2.0,2.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
24,313.0,2.0,4.0,16.0,Ings,16.0,F,60.0,60.0,-0.0,6.0,6.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
25,409.0,2.0,4.0,20.0,Jiménez,20.0,F,75.0,75.0,-0.0,2.0,2.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
26,93.0,2.0,1.0,5.0,Pope,5.0,G,45.0,45.0,-0.0,3.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
27,84.0,2.0,2.0,5.0,Tarkowski,5.0,D,50.0,50.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
28,182.0,2.0,2.0,10.0,Alexander-Arnold,10.0,D,70.0,70.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
29,113.0,2.0,3.0,6.0,Willian,6.0,M,70.0,70.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.0,1.0,-0.0,1.0
